step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
20,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.0,37321.0,37321.0,0.0,37321.0,37321.0,37321.0,0.846,0.121,0.005,0.01,0.975,0.041,0.01,0.0,0.002,-0.001,0.0,0.156,0.178,66.014,74.318,129.461,0.0,20.0,0.0,-0.002,0.0,-0.1,-0.002,0.0,-0.1,-0.003,0.06,-0.14,-0.003,0.06,-0.14,81.375,128.0,43.0,0.025,851.65,1445.0,191.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.705,0.015,2.141,6.094,0.008,7.545,24.513,2.674,0.202,0.163,0.0,37321.0,24.513,1522.48,
21,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.2222222222222223,46065.0,46065.0,0.0,46065.0,46065.0,46065.0,0.87,0.093,0.006,0.009,0.9,0.047,0.01,0.0,0.002,0.0,0.0,0.425,0.23,66.071,74.318,130.67,0.0,21.0,0.0,-0.01,0.0,-0.1,-0.01,0.0,-0.1,-0.007,0.07,-0.151,-0.007,0.07,-0.151,86.25,128.0,51.0,0.1,1065.375,2503.0,210.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.929,0.016,2.386,6.137,0.008,7.358,24.84,2.588,0.16,0.133,0.0,46065.0,24.84,1854.451,
22,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.7142857142857142,39743.0,39743.0,0.0,39743.0,39743.0,39743.0,0.856,0.122,0.006,0.01,1.0,0.075,0.01,0.0,0.0,-0.0,0.0,0.083,0.223,66.071,74.318,130.552,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.083,114.0,32.0,0.0,1031.889,2466.0,207.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.004,8.191,0.015,1.99,5.504,0.008,6.55,22.263,3.156,0.165,0.138,0.0,39743.0,22.263,1785.172,
23,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1052631578947367,55135.0,55135.0,0.0,55135.0,55135.0,55135.0,0.849,0.122,0.005,0.01,0.95,0.101,0.01,0.0,0.004,-0.001,0.0,0.295,0.247,66.071,74.318,130.513,0.0,23.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.002,0.06,-0.165,-0.002,0.06,-0.165,78.2,128.0,44.0,0.025,1300.175,2300.0,207.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.654,0.019,2.251,6.149,0.008,8.283,25.369,2.767,0.15,0.112,0.0,55135.0,25.369,2173.313,
24,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,0.0,0.0,0.0,0.017,1.9047619047619047,46541.0,46541.0,0.0,46541.0,46541.0,46541.0,0.867,0.12,0.005,0.01,0.95,0.038,0.01,0.0,0.003,0.001,0.0,0.275,0.237,66.071,74.318,130.372,0.0,24.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.003,0.035,-0.173,-0.003,0.035,-0.173,86.775,128.0,44.0,0.05,1076.75,2293.0,208.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.902,0.018,2.205,6.118,0.011,7.205,457.169,2.565,0.155,0.131,0.0,46541.0,457.169,101.803,432.698
25,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.894736842105263,45568.0,45568.0,0.0,45568.0,45568.0,45568.0,0.836,0.137,0.005,0.009,0.917,0.041,0.01,0.0,0.005,0.001,0.0,0.442,0.237,66.071,74.318,124.749,0.0,25.0,0.0,-0.008,0.0,-0.1,-0.008,0.0,-0.1,-0.007,0.062,-0.173,-0.007,0.062,-0.173,84.556,128.0,50.0,0.083,1181.222,2499.0,211.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.025,8.738,0.016,1.982,5.503,0.008,7.093,23.344,2.871,0.156,0.121,0.0,45568.0,23.344,1951.987,
26,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.85,45317.0,45317.0,0.0,45317.0,45317.0,45317.0,0.859,0.108,0.005,0.009,0.865,0.063,0.01,0.0,0.004,-0.0,0.0,0.463,0.244,66.071,74.318,124.887,0.0,26.0,0.0,-0.014,0.0,-0.1,-0.014,0.0,-0.1,-0.004,0.072,-0.162,-0.004,0.072,-0.162,101.027,128.0,59.0,0.216,1123.757,2333.0,207.0,0.0,0.0,0.0,0.0,4.625,5.0,3.0,0.0,0.0,0.198,9.395,0.016,2.013,5.662,0.008,6.849,23.948,2.513,0.151,0.125,0.0,45317.0,23.948,1892.291,
27,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.7727272727272727,50506.0,50506.0,0.0,50506.0,50506.0,50506.0,0.854,0.116,0.005,0.009,0.897,0.019,0.01,-0.0,0.006,0.001,0.0,0.417,0.26,66.071,74.318,124.97,0.0,27.0,0.0,-0.01,0.0,-0.1,-0.01,0.0,-0.1,-0.007,0.062,-0.173,-0.007,0.062,-0.173,87.744,128.0,46.0,0.103,1207.282,2445.0,206.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.2,9.501,0.018,2.176,5.971,0.009,7.176,24.856,2.776,0.142,0.118,0.0,50506.0,24.856,2031.931,
28,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1666666666666665,42014.0,42014.0,0.0,42014.0,42014.0,42014.0,0.896,0.116,0.006,0.01,0.949,0.029,0.01,-0.0,0.006,0.003,0.0,0.235,0.227,66.071,74.318,125.031,0.0,28.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.005,0.044,-0.157,-0.005,0.044,-0.157,83.462,128.0,41.0,0.051,993.82,1798.0,201.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.004,9.175,0.016,2.079,5.932,0.008,6.737,23.954,2.819,0.16,0.141,0.0,42014.0,23.954,1753.937,
29,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1052631578947367,43834.0,43834.0,0.0,43834.0,43834.0,43834.0,0.923,0.115,0.005,0.01,0.9,0.037,0.01,0.0,0.003,0.001,0.0,0.564,0.227,66.071,74.318,125.18,0.0,29.0,0.0,-0.01,0.0,-0.1,-0.01,0.0,-0.1,-0.006,0.07,-0.147,-0.006,0.07,-0.147,84.9,128.0,46.0,0.125,1010.95,2295.0,204.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.703,0.016,2.156,6.087,0.008,7.071,24.047,2.563,0.161,0.139,0.0,43834.0,24.047,1822.84,
30,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.0,47574.0,47574.0,0.0,47574.0,47574.0,47574.0,0.904,0.111,0.005,0.009,0.875,0.025,0.01,0.0,0.002,0.001,0.0,0.456,0.245,66.071,74.318,125.065,0.0,30.0,0.0,-0.013,0.0,-0.1,-0.013,0.0,-0.1,-0.009,0.07,-0.16,-0.009,0.07,-0.16,87.25,128.0,27.0,0.125,1102.1,2318.0,210.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.925,0.017,2.21,6.11,0.008,7.13,24.406,2.557,0.15,0.128,0.0,47574.0,24.406,1949.244,
31,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1666666666666665,33628.0,33628.0,0.0,33628.0,33628.0,33628.0,0.804,0.09,0.006,0.009,0.949,0.045,0.01,0.0,0.002,0.001,0.0,0.187,0.175,66.071,74.318,125.21,0.0,31.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.004,0.053,-0.147,-0.004,0.053,-0.147,81.333,128.0,43.0,0.077,780.923,1411.0,210.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.104,8.371,0.014,2.624,5.905,0.008,6.897,23.825,2.639,0.205,0.176,0.0,33628.0,23.825,1411.451,
32,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,0.289,0.0,0.047,0.051,1.8571428571428572,46482.0,46482.0,0.0,46482.0,46482.0,46482.0,0.858,0.121,0.005,0.009,0.974,0.224,0.01,0.0,0.001,0.001,0.0,0.213,0.247,66.071,74.318,125.26,0.0,32.0,0.0,-0.003,0.0,-0.1,-0.003,0.0,-0.1,-0.003,0.043,-0.157,-0.003,0.043,-0.157,73.487,128.0,32.0,0.026,1118.359,2238.0,206.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.0,8.376,0.017,2.107,5.941,0.008,6.916,437.004,2.923,0.149,0.128,0.0,46482.0,437.004,106.365,413.634
