step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
20,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.5833333333333333,36409.0,36409.0,0.0,36409.0,36409.0,36409.0,0.286,0.042,0.002,0.006,1.0,0.049,0.01,-0.003,0.0,-0.002,0.0,18.102,0.194,65.877,75.424,134.174,0.0,20.0,0.0,1.316,10.0,0.0,1.316,10.0,0.0,0.165,10.43,-7.715,0.165,10.43,-7.715,19.421,40.0,15.0,0.0,938.711,2540.0,191.0,0.0,1.25,10.0,0.0,4.75,5.0,3.0,0.0,0.125,0.239,5.879,0.015,2.012,5.77,0.008,6.821,20.511,0.187,0.0,7.966,0.158,36409.0,20.511,1775.107,
21,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.45,27916.0,27916.0,0.0,27916.0,27916.0,27916.0,0.63,0.052,0.002,0.007,0.966,0.009,0.01,-0.0,0.0,-0.001,0.0,0.231,0.167,65.877,75.424,134.462,0.0,21.0,0.0,-0.003,0.0,-0.1,-0.003,0.0,-0.1,-0.023,0.035,-0.165,-0.023,0.035,-0.165,26.069,128.0,15.0,0.034,936.552,2539.0,210.0,0.0,0.0,0.0,0.0,3.625,5.0,3.0,0.0,0.0,0.304,6.54,0.012,1.597,4.418,0.01,6.094,18.675,0.218,0.0,8.65,0.158,27916.0,18.675,1494.794,
22,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.8095238095238095,42008.0,42008.0,0.0,42008.0,42008.0,42008.0,0.309,0.054,0.002,0.006,1.0,0.01,0.01,0.0,0.0,-0.0,0.0,0.105,0.221,65.877,75.424,136.038,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.368,38.0,15.0,0.0,1085.105,2520.0,207.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.299,5.933,0.016,2.097,5.808,0.008,6.963,20.83,0.166,0.0,7.666,0.138,42008.0,20.83,2016.664,
23,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,2.0526315789473686,41609.0,41609.0,0.0,41609.0,41609.0,41609.0,0.242,0.056,0.002,0.005,1.0,0.041,0.01,0.0,0.0,-0.0,0.0,0.047,0.217,65.877,75.424,138.992,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.923,41.0,15.0,0.0,1045.974,2137.0,207.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.196,6.102,0.023,2.175,5.995,0.011,6.982,21.295,0.168,0.0,7.478,0.144,41609.0,21.295,1953.977,
24,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,2.007,0.0,0.203,0.383,2.0,38720.0,38720.0,0.0,38720.0,38720.0,38720.0,0.251,0.046,0.002,0.005,1.0,0.011,0.01,0.0,0.0,-0.001,0.0,0.038,0.207,65.877,75.424,140.569,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.342,53.0,15.0,0.0,995.605,2314.0,208.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.193,6.037,0.015,2.042,5.781,0.008,6.795,353.714,0.175,0.0,6.806,0.149,38720.0,353.714,109.467,333.031
25,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.9047619047619047,45984.0,45984.0,0.0,45984.0,45984.0,45984.0,0.299,0.052,0.002,0.006,1.0,0.001,0.01,0.0,0.0,-0.001,0.0,0.088,0.212,65.877,75.424,132.665,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,50.0,15.0,0.0,1126.1,2528.0,211.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,6.38,0.017,2.229,6.194,0.008,7.96,22.796,0.173,0.0,6.787,0.135,45984.0,22.796,2017.218,
26,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.95,40538.0,40538.0,0.0,40538.0,40538.0,40538.0,0.188,0.06,0.002,0.006,1.0,0.025,0.01,0.0,0.0,-0.0,0.0,0.034,0.217,65.877,75.424,132.717,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.538,62.0,15.0,0.0,1013.897,1798.0,207.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.0,6.428,0.018,2.139,5.948,0.008,6.786,21.332,0.167,0.0,6.454,0.147,40538.0,21.332,1900.338,
27,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6818181818181819,43011.0,43011.0,0.0,43011.0,43011.0,43011.0,0.224,0.059,0.002,0.006,1.0,0.09,0.01,0.0,0.0,0.001,0.0,0.08,0.227,65.877,75.424,132.764,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.459,45.0,15.0,0.0,1142.0,2355.0,206.0,0.0,0.0,0.0,0.0,4.625,5.0,3.0,0.0,0.0,0.077,6.047,0.016,2.001,5.617,0.008,6.944,20.637,0.161,0.0,7.988,0.131,43011.0,20.637,2084.173,
28,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.56,41044.0,41044.0,0.0,41044.0,41044.0,41044.0,0.193,0.043,0.002,0.005,1.0,0.0,0.01,0.004,0.0,0.006,0.0,14.278,0.22,65.877,75.424,132.741,0.0,28.0,0.0,1.026,10.0,0.0,1.026,10.0,0.0,-0.276,11.271,-7.302,-0.276,11.271,-7.302,22.103,52.0,15.0,0.0,1030.308,2211.0,201.0,0.0,1.25,10.0,0.0,4.875,5.0,4.0,0.0,0.125,0.125,6.113,0.016,2.072,5.926,0.008,6.779,20.921,0.165,0.0,7.092,0.144,41044.0,20.921,1961.895,
29,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.894736842105263,41220.0,41220.0,0.0,41220.0,41220.0,41220.0,0.265,0.054,0.002,0.006,1.0,0.016,0.01,0.0,0.0,-0.0,0.0,0.047,0.234,65.877,75.424,132.772,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.222,65.0,15.0,0.0,1119.778,2267.0,204.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.28,6.937,0.016,1.972,5.493,0.008,6.462,20.893,0.157,0.0,7.64,0.133,41220.0,20.893,1972.91,
30,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.7272727272727273,33142.0,33142.0,0.0,33142.0,33142.0,33142.0,0.271,0.044,0.001,0.005,1.0,0.017,0.01,0.0,0.0,0.0,0.0,0.054,0.184,65.877,75.424,132.875,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.105,52.0,15.0,0.0,850.053,1755.0,210.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.04,6.289,0.014,2.017,5.725,0.008,6.495,20.552,0.196,0.0,7.487,0.173,33142.0,20.552,1612.58,
31,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.7142857142857142,33566.0,33566.0,0.0,33566.0,33566.0,33566.0,0.373,0.045,0.002,0.006,1.0,0.003,0.01,0.0,0.0,0.001,0.0,0.039,0.189,65.877,75.424,132.903,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.361,83.0,15.0,0.0,907.028,1773.0,210.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.036,6.609,0.014,1.997,5.502,0.008,6.44,20.573,0.192,0.0,7.238,0.164,33566.0,20.573,1631.528,
32,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,3.264,0.0,0.328,0.561,1.5416666666666667,43980.0,43980.0,0.0,43980.0,43980.0,43980.0,0.283,0.043,0.002,0.006,1.0,0.02,0.01,0.0,0.0,-0.0,0.0,0.038,0.218,65.877,75.424,132.939,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.919,59.0,15.0,0.0,1166.73,2403.0,206.0,0.0,0.0,0.0,0.0,4.625,5.0,3.0,0.0,0.0,0.154,6.474,0.017,2.048,5.635,0.008,7.421,337.398,0.169,0.0,7.983,0.128,43980.0,337.398,130.351,315.79
